ChallengeId,ribbons,name,pace1,meters,spm,pace2,pace3,gain1,all1,pace4,gain2,all1
1,/challenge/2008/12/,"30 minutes @ 20 spm",2008,12,T,1800
1,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
7,None,JulesT,1:55.0,38:19.8,18,-9.1,10,3,13,29,3,32,None
7,None,stupe,1:55.0,38:19.9,24,-6.6,9,6,15,25,6,31,None
7,None,Adrian,1:55.4,38:28.4,24,-2.8,8,11,19,18,11,29,None
7,None,MattN,1:55.9,38:37.8,27,-6.2,7,9,16,22,9,31,None
7,None,DaveS,2:01.3,40:26.1,20,-10.0,6,1,7,20,1,21,None
7,None,Hannah,2:02.6,40:52.4,23,-9.5,5,2,7,14,2,16,None
7,None,Arlene,2:04.3,41:26.1,25,-2.4,4,13,17,9,13,22,None
7,None,Emma,2:09.5,43:09.2,25,-9.5,3,2,5,10,2,12,None
7,None,Kay,2:14.0,44:40.6,26,-6.3,2,8,10,6,8,14,None
7,None,JudyT,2:18.7,46:13.3,22,-7.0,1,4,5,4,4,8,None
8,/challenge/2009/07/,"4  750 m, 3' rest, @ 24/26/28/30 spm",2009,7,D,3000
8,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
8,None,ausrwr,1:31.6,9:09.7,27,None,19,None,19,42,None,42,None
8,None,Danny,1:32.4,9:14.6,27,14.5,18,13,31,58,18,76,None
8,None,NavHaz,1:33.8,9:22.8,27,18.5,17,17,34,32,34,66,None
8,None,Si,1:34.0,9:23.8,27,None,16,None,16,16,None,16,None
8,None,Rocky,1:36.2,9:37.2,27,10.1,15,4,19,44,20,64,None
8,None,JulesT,1:37.0,9:41.8,27,18.0,14,15,29,43,18,61,None
8,None,DaveC,1:37.0,9:42.0,27,12.0,13,10,23,48,17,65,None
8,None,Stu,1:38.0,9:47.9,27,6.8,12,3,15,52,15,67,None
8,None,Adrian,1:41.5,10:09.1,26,13.9,11,12,23,29,23,52,None
8,None,AndyB,1:42.1,10:12.8,27,11.8,10,9,19,38,19,57,None
8,None,toddler,1:42.3,10:13.9,26,11.6,9,7,16,32,22,54,None
8,None,GregC,1:44.3,10:25.5,27,3.7,8,1,9,43,15,58,None
8,None,stupe,1:44.5,10:27.2,26,10.5,7,6,13,32,12,44,None
8,None,MattN,1:45.5,10:32.8,27,10.4,6,5,11,28,14,42,None
8,None,DaveS,1:48.4,10:50.1,26,12.9,5,11,16,25,12,37,None
8,None,Emma,1:52.7,11:16.2,26,16.8,4,14,18,14,16,30,None
8,None,Arlene,2:00.2,12:01.3,25,4.1,3,2,5,12,15,27,None
8,None,JudyT,2:00.3,12:01.5,26,18.4,2,16,18,6,20,26,None
8,None,Kay,2:02.3,12:13.7,26,11.7,1,8,9,7,16,23,None
9,/challenge/2009/08/,"2000 m @ 24 spm",2009,8,D,2000
9,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
9,None,NavHaz,1:37.4,6:29.6,24,-3.6,21,10,31,53,44,97,None
9,None,Olly,1:37.9,6:31.7,23,None,20,None,20,45,None,45,None
9,None,DaveC,1:40.0,6:40.0,24,-3.0,19,12,31,67,29,96,None
9,None,Stu,1:40.5,6:41.8,24,-2.5,18,13,31,70,28,98,None
9,None,Hewitt,1:41.4,6:45.4,24,None,17,None,17,17,None,17,None
9,None,JulesT,1:41.8,6:47.3,23,-4.8,16,8,24,59,26,85,None
9,None,ausrwr,1:42.4,6:49.5,18,-10.8,15,2,17,57,2,59,None
9,None,Rocky,1:42.7,6:50.7,22,-6.5,14,4,18,58,24,82,None
9,None,toddler,1:44.1,6:56.5,24,-1.8,13,15,28,45,37,82,None
9,None,Danny,1:44.2,6:56.8,24,-11.8,12,1,13,70,19,89,None
9,None,Adrian,1:44.6,6:58.3,24,-3.1,11,11,22,40,34,74,None
9,None,AndyB,1:45.2,7:00.7,24,-3.1,10,11,21,48,30,78,None
9,None,stupe,1:46.2,7:04.7,24,-1.7,9,16,25,41,28,69,None
9,None,MattN,1:51.5,7:25.8,24,-6.0,8,5,13,36,19,55,None
9,None,GregC,1:52.2,7:28.7,22,-7.9,7,3,10,50,18,68,None
9,None,DaveS,1:53.8,7:35.2,23,-5.4,6,7,13,31,19,50,None
9,None,Rocket,1:54.7,7:38.7,24,None,5,None,5,5,None,5,None
9,None,Hannah,1:55.7,7:42.6,24,None,4,None,4,18,2,20,None
9,None,Arlene,2:04.0,8:16.0,23,-3.8,3,9,12,15,24,39,None
9,None,Kay,2:04.2,8:16.6,23,-1.9,2,14,16,9,30,39,None
9,None,JudyT,2:06.0,8:24.1,24,-5.7,1,6,7,7,26,33,None
10,/challenge/2009/09/,"5000 m",2009,9,D,5000
10,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
10,None,Olly,1:41.6,16:55.6,24,-3.7,20,7,27,65,7,72,None
10,None,Hewitt,1:42.0,17:00.4,30,-0.6,19,15,34,36,15,51,None
10,None,Stu,1:43.8,17:18.0,24,-3.3,18,8,26,88,36,124,None
10,None,NavHaz,1:44.0,17:20.2,20,-6.6,17,3,20,70,47,117,None
10,None,Danny,1:44.5,17:25.1,24,-0.3,16,16,32,86,35,121,None
10,None,DaveC,1:44.6,17:26.4,27,-4.6,15,6,21,82,35,117,None
10,None,JulesT,1:44.9,17:29.2,22,-3.1,14,9,23,73,35,108,None
10,None,Rocky,1:44.9,17:29.2,24,-2.2,14,12,26,72,36,108,None
10,None,ausrwr,1:45.0,17:30.0,20,-2.6,13,10,23,70,12,82,None
10,None,stupe,1:49.3,18:12.8,26,-3.1,12,9,21,53,37,90,None
10,None,GregC,1:50.0,18:19.7,24,2.2,11,19,30,61,37,98,None
10,None,toddler,1:50.3,18:22.9,24,-6.2,10,4,14,55,41,96,None
10,None,MattN,1:51.7,18:37.4,28,-0.2,9,17,26,45,36,81,None
10,None,Hannah,1:53.6,18:56.0,26,2.1,8,18,26,26,20,46,None
10,None,Rocket,1:55.7,19:17.4,25,-1.0,7,14,21,12,14,26,None
10,None,AndyB,1:56.4,19:24.0,24,-11.2,6,2,8,54,32,86,None
10,None,SteveV,1:57.2,19:32.1,20,None,5,None,5,5,None,5,None
10,None,Adrian,1:59.3,19:53.3,21,-14.7,4,1,5,44,35,79,None
10,None,Arlene,2:06.0,21:00.1,24,-2.0,3,13,16,18,37,55,None
10,None,Kay,2:06.7,21:07.4,26,-2.5,2,11,13,11,41,52,None
10,None,JudyT,2:11.9,21:58.9,25,-5.9,1,5,6,8,31,39,None
11,/challenge/2009/10/,"3  1000 m, 3' rest, @ 28 spm",2009,10,D,3000
11,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
11,None,Si,1:34.9,9:29.3,28,None,15,None,15,31,None,31,None
11,None,ausrwr,1:37.0,9:42.0,27,8.0,14,10,24,84,22,106,None
11,None,Hewitt,1:37.8,9:46.6,28,4.2,13,3,16,49,18,67,None
11,None,Stu,1:38.7,9:52.1,28,5.1,12,5,17,100,41,141,None
11,None,NavHaz,1:38.9,9:53.4,20,5.1,11,5,16,81,52,133,None
11,None,DaveC,1:39.2,9:55.0,28,5.4,10,7,17,92,42,134,None
11,None,toddler,1:41.7,10:10.1,27,8.6,9,11,20,64,52,116,None
11,None,GregC,1:44.4,10:26.2,25,5.6,8,9,17,69,46,115,None
11,None,Adrian,1:44.5,10:26.7,27,14.8,7,12,19,51,47,98,None
11,None,stupe,1:45.3,10:31.5,27,4.0,6,1,7,59,38,97,None
11,None,MattN,1:47.0,10:42.0,28,4.7,5,4,9,50,40,90,None
11,None,Hannah,1:49.5,10:57.1,30,4.1,4,2,6,30,22,52,None
11,None,Arlene,2:00.5,12:03.0,27,5.5,3,8,11,21,45,66,None
11,None,Kay,2:01.4,12:08.6,27,5.3,2,6,8,13,47,60,None
11,None,JudyT,2:03.9,12:23.2,27,8.0,1,10,11,9,41,50,None
12,/challenge/2009/11/,"Rugby Test: 1000 m, 3' rest; 750 m, 2'30 rest; 500 m, 2' rest; 750 m",2009,11,D,3000
12,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
12,None,Si,1:31.1,9:52.3,33,3.8,13,8,21,44,8,52,None
12,None,Danny,1:32.5,10:01.2,30,None,12,None,12,98,35,133,None
12,None,DaveC,1:37.9,10:36.4,29,1.3,11,4,15,103,46,149,None
12,None,NavHaz,1:38.0,10:36.9,20,0.9,10,3,13,91,55,146,None
12,None,Stu,1:38.5,10:40.3,31,0.2,9,2,11,109,43,152,None
12,None,toddler,1:38.9,10:42.9,30,2.8,8,6,14,72,58,130,None
12,None,GregC,1:41.1,10:56.9,29,3.3,7,7,14,76,53,129,None
12,None,stupe,1:41.2,10:58.0,31,4.1,6,9,15,65,47,112,None
12,None,AndyB,1:41.3,10:58.6,31,None,5,None,5,59,32,91,None
12,None,Adrian,1:42.0,11:03.1,29,2.5,4,5,9,55,52,107,None
12,None,DaveS,1:48.5,11:45.2,26,None,3,None,3,34,19,53,None
12,None,Arlene,1:57.2,12:41.8,28,3.3,2,7,9,23,52,75,None
12,None,Kay,2:02.5,13:16.1,27,-1.1,1,1,2,14,48,62,None
13,/challenge/2009/12/,"30 minutes",2009,12,T,1800
13,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
13,None,ausrwr,1:42.6,8770,20,None,14,None,14,98,22,120,None
13,None,Hewitt,1:45.5,8532,27,None,13,None,13,62,18,80,None
13,None,Danny,1:45.7,8515,24,-13.2,12,2,14,110,37,147,None
13,None,Stu,1:46.9,8419,26,-8.4,11,6,17,120,49,169,None
13,None,GregC,1:47.7,8358,26,-6.6,10,10,20,86,63,149,None
13,None,Rocky,1:48.0,8333,22,None,9,None,9,81,36,117,None
13,None,DaveC,1:48.3,8312,25,-10.4,8,5,13,111,51,162,None
13,None,stupe,1:48.8,8269,26,-7.6,7,7,14,72,54,126,None
13,None,toddler,1:51.1,8103,23,-12.2,6,4,10,78,62,140,None
13,None,Adrian,1:54.5,7863,24,-12.5,5,3,8,60,55,115,None
13,None,AndyB,1:54.6,7851,24,-13.3,4,1,5,63,33,96,None
13,None,Rocket,1:55.0,7823,25,None,3,None,3,15,14,29,None
13,None,Arlene,2:04.3,7240,25,-7.1,2,9,11,25,61,86,None
13,None,Kay,2:09.7,6939,26,-7.2,1,8,9,15,56,71,None
14,/challenge/2010/01/,"6  500 m, 1' rest",2010,1,D,3000
14,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
14,None,Danny,1:30.4,9:02.4,31,15.3,18,12,30,128,49,177,None
14,None,Si,1:31.7,9:10.0,33,None,17,None,17,61,8,69,None
